300	0.44491
301	0.44404
302	0.44132
303	0.43689
304	0.43086
305	0.42337
306	0.41455
307	0.40453
308	0.39344
309	0.38144
310	0.36869
311	0.35534
312	0.34148
313	0.3272
314	0.31259
315	0.29776
316	0.28285
317	0.26801
318	0.2534
319	0.23922
320	0.22564
321	0.21287
322	0.20111
323	0.19055
324	0.18138
325	0.17374
326	0.16778
327	0.16358
328	0.16123
329	0.16073
330	0.1621
331	0.16528
332	0.17019
333	0.17672
334	0.18472
335	0.19402
336	0.20446
337	0.21583
338	0.22799
339	0.24074
340	0.25394
341	0.26744
342	0.28109
343	0.29479
344	0.30844
345	0.32194
346	0.33523
347	0.34824
348	0.36091
349	0.3732
350	0.38509
351	0.39656
352	0.40765
353	0.41839
354	0.42883
355	0.43902
356	0.44901
357	0.45883
358	0.46852
359	0.47813
360	0.48767
361	0.49714
362	0.50638
363	0.5152
364	0.52344
365	0.53094
366	0.53759
367	0.54327
368	0.54787
369	0.55129
370	0.55342
371	0.55419
372	0.55369
373	0.55201
374	0.54925
375	0.5455
376	0.54084
377	0.53537
378	0.52915
379	0.52229
380	0.51486
381	0.50695
382	0.4986
383	0.48982
384	0.48064
385	0.47109
386	0.46119
387	0.45097
388	0.44047
389	0.42973
390	0.41879
391	0.40768
392	0.39645
393	0.3851
394	0.37367
395	0.36219
396	0.35067
397	0.33917
398	0.32772
399	0.31637
400	0.30514
401	0.29409
402	0.28325
403	0.27265
404	0.26235
405	0.25238
406	0.24277
407	0.23357
408	0.22482
409	0.21655
410	0.2088
411	0.20159
412	0.19497
413	0.18896
414	0.18359
415	0.17888
416	0.17483
417	0.17147
418	0.16879
419	0.16679
420	0.16548
421	0.16484
422	0.16484
423	0.16548
424	0.16671
425	0.16851
426	0.17084
427	0.17367
428	0.17696
429	0.18067
430	0.18476
431	0.18921
432	0.19398
433	0.19904
434	0.20436
435	0.20992
436	0.21567
437	0.2216
438	0.22764
439	0.23375
440	0.23991
441	0.24606
442	0.25221
